entity,code,year,total_demand__twh,total_demand__twh__original_year
Afghanistan,AFG,2025,6.82,2024
Albania,ALB,2025,8.67,2024
Algeria,DZA,2025,93.84,2024
Angola,AGO,2025,15.59,2024
Antigua and Barbuda,ATG,2025,0.37,2024
Argentina,ARG,2025,162.45,
Armenia,ARM,2025,8.14,
Australia,AUS,2025,286.34,
Austria,AUT,2025,75.84,
Azerbaijan,AZE,2025,27.17,
Bahamas,BHS,2025,2.25,2024
Bahrain,BHR,2025,38.44,2024
Bangladesh,BGD,2025,118.06,
Barbados,BRB,2025,1.11,2024
Belarus,BLR,2025,45.47,
Belgium,BEL,2025,86.56,
Belize,BLZ,2025,0.85,2024
Benin,BEN,2025,2.31,2024
Bhutan,BTN,2025,12.46,2024
Bolivia,BOL,2025,13.63,
Bosnia and Herzegovina,BIH,2025,14.44,
Botswana,BWA,2025,4.67,2024
Brazil,BRA,2025,762.12,
Brunei,BRN,2025,5.56,2024
Bulgaria,BGR,2025,36.53,
Burkina Faso,BFA,2025,3.19,2024
Burundi,BDI,2025,0.57,2024
Cambodia,KHM,2025,22.39,
Cameroon,CMR,2025,7.32,2024
Canada,CAN,2025,645.64,
Cape Verde,CPV,2025,0.52,2024
Central African Republic,CAF,2025,0.14,2023
Chad,TCD,2025,0.37,2024
Chile,CHL,2025,88.5,
China,CHN,2025,10563.9,
Colombia,COL,2025,91.61,
Comoros,COM,2025,0.14,2023
Congo,COG,2025,5.38,2024
Costa Rica,CRI,2025,12.45,
Cote d'Ivoire,CIV,2025,10.06,2024
Croatia,HRV,2025,20.05,
Cuba,CUB,2025,19.43,2024
Cyprus,CYP,2025,5.91,
Czechia,CZE,2025,68.04,
Democratic Republic of Congo,COD,2025,17.36,2024
Denmark,DNK,2025,40.67,
Djibouti,DJI,2025,0.8,2024
Dominica,DMA,2025,0.15,2023
Dominican Republic,DOM,2025,22.68,
East Timor,TLS,2025,0.51,2024
Ecuador,ECU,2025,36.64,
Egypt,EGY,2025,244.31,
El Salvador,SLV,2025,6.27,
Equatorial Guinea,GNQ,2025,1.49,2024
Eritrea,ERI,2025,0.45,2024
Estonia,EST,2025,9.34,
Eswatini,SWZ,2025,1.65,2024
Ethiopia,ETH,2025,31.02,
Fiji,FJI,2025,1.15,2024
Finland,FIN,2025,87.78,
France,FRA,2025,476.66,
French Guiana,GUF,2025,0.98,2023
Gabon,GAB,2025,3.18,2024
Gambia,GMB,2025,0.51,2024
Georgia,GEO,2025,14.7,
Germany,DEU,2025,520.27,
Ghana,GHA,2025,21.83,2024
Greece,GRC,2025,55.56,
Greenland,GRL,2025,0.6,2024
Grenada,GRD,2025,0.24,2024
Guatemala,GTM,2025,16.35,2024
Guinea,GIN,2025,4.03,2024
Guinea-Bissau,GNB,2025,0.08,2024
Guyana,GUY,2025,1.38,2024
Haiti,HTI,2025,0.86,2024
Honduras,HND,2025,12.63,2024
Hungary,HUN,2025,48.9,
Iceland,ISL,2025,19.05,2024
India,IND,2025,2082.82,
Indonesia,IDN,2025,372.5,2024
Iran,IRN,2025,395.6,
Iraq,IRQ,2025,156.83,2024
Ireland,IRL,2025,37.64,
Israel,ISR,2025,75.7,
Italy,ITA,2025,311.6,
Jamaica,JAM,2025,4.92,2024
Japan,JPN,2025,1029.86,
Jordan,JOR,2025,23.73,2024
Kazakhstan,KAZ,2025,126.1,
Kenya,KEN,2025,15.58,
Kiribati,KIR,2025,0.04,2024
Kosovo,OWID_KOS,2025,7.4,
Kuwait,KWT,2025,92.49,
Kyrgyzstan,KGZ,2025,19.31,
Laos,LAO,2025,15.61,2024
Latvia,LVA,2025,7.52,
Lebanon,LBN,2025,5.34,2024
Lesotho,LSO,2025,0.58,2024
Liberia,LBR,2025,0.57,2024
Libya,LBY,2025,34.59,2024
Lithuania,LTU,2025,12.32,
Luxembourg,LUX,2025,6.7,
Madagascar,MDG,2025,2.43,2024
Malawi,MWI,2025,1.81,2024
Malaysia,MYS,2025,199.91,
Maldives,MDV,2025,0.85,2024
Mali,MLI,2025,5.46,2024
Malta,MLT,2025,3.23,
Mauritania,MRT,2025,2.37,2024
Mauritius,MUS,2025,3.41,2024
Mexico,MEX,2025,356.66,
Moldova,MDA,2025,6.17,
Mongolia,MNG,2025,12.41,
Montenegro,MNE,2025,4.34,
Morocco,MAR,2025,48.23,
